发起实例,目标实例,互动次数
mstdn.ca,social.linux.pizza,4
mstdn.ca,dragonscave.space,43
mstdn.ca,sfba.social,58
mstdn.ca,newsie.social,23
clew.lol,cum.salon,8
mastodon.bot,mastodon.bot,11
mastodon.stickbear.me,fedi.adamm.cc,10
mastodon.stickbear.me,dragonscave.space,33
shortstacksran.ch,nicecrew.digital,13
shortstacksran.ch,misskey.yandere.love,3
shortstacksran.ch,noauthority.social,1
aklp.club,plasmatrap.com,1
friendica.katholisch.social,fosstodon.org,1
ak.angelstrapped.com,ak.angelstrapped.com,1
kind.social,kind.social,48
mstdn.yuicho.net,mstdn.yuicho.net,6
simian.rodeo,simian.rodeo,3
social.joshtriplett.org,toot.cat,2
wandering.shop,wandering.shop,87
kotobaphil-mtdn.eu,kotobaphil-mtdn.eu,3
nyan.network,bark.lgbt,1
mstdn.ca,mastodon.world,58
mstdn.ca,freeradical.zone,2
mstdn.ca,fosstodon.org,25
spinster.xyz,poa.st,13
mstdn.ca,ohai.social,30
mstdn.ca,zirk.us,9
sakurajima.moe,sakurajima.moe,10
mstdn.ca,wandering.shop,30
shortstacksran.ch,varishangout.net,2
social.wake.st,social.wake.st,1
shortstacksran.ch,mugicha.club,3
shortstacksran.ch,poa.st,8
shortstacksran.ch,wolfgirl.bar,2
shortstacksran.ch,spinster.xyz,1
shortstacksran.ch,norwoodzero.net,1
shortstacksran.ch,pone.social,5
shrike.club,shrike.club,11
mastodon.nz,mastodon.nz,73
tkz.one,tkz.one,6
mstdn.mx,mstdn.mx,8
detroitriotcity.com,detroitriotcity.com,50
hellspawn.gay,transfem.social,10
hellspawn.gay,hellspawn.gay,20
donotsta.re,mas.to,1
hellspawn.gay,kitsunes.gay,4
botsin.space,botsin.space,23
mstdn.ca,todon.eu,1
mstdn.ca,social.coop,13
mstdn.ca,social.cologne,1
spinster.xyz,noauthority.social,29
mstdn.ca,hachyderm.io,30
mstdn.ca,jasette.facil.services,7
mastodon.nu,mastodon.nu,90
mstdn.ca,hear-me.social,10
bolha.one,bolha.one,34
functional.cafe,functional.cafe,6
norwoodzero.net,pl.valkyrie.world,1
forcefemm.ing,forcefemm.ing,1
freude.social,freude.social,1
forcefemm.ing,gts.apicrim.es,1
norden.social,norden.social,303
netzsphaere.xyz,queer.hacktivis.me,6
netzsphaere.xyz,mk.absturztau.be,1
netzsphaere.xyz,misskey.bubbletea.dev,1
netzsphaere.xyz,shitposter.world,10
cupoftea.social,cupoftea.social,14
mstdn.maud.io,mstdn.maud.io,64
framapiaf.org,framapiaf.org,62
chaosfem.tw,mastodon.sandwich.net,1
chaosfem.tw,corteximplant.com,1
chaosfem.tw,anarres.family,4
chaosfem.tw,mas.to,2
shitpost.cloud,cawfee.club,3
social.teia.bio.br,social.br-linux.org,1
social.teia.bio.br,bolha.one,1
detroitriotcity.com,breastmilk.club,5
fairy.id,fairy.id,7
detroitriotcity.com,rebel.ar,1
detroitriotcity.com,varishangout.net,6
detroitriotcity.com,clubcyberia.co,2
detroitriotcity.com,zhub.link,1
uwyn.net,uwyn.net,1
spinster.xyz,bgme.me,1
noauthority.social,noauthority.social,308
chaosfem.tw,mstdn.social,3
chaosfem.tw,sauropods.win,2
weird.autos,weird.autos,6
a11y.info,a11y.info,1
subdued.social,subdued.social,10
lawsocial.org,lawsocial.org,2
atx.pub,atx.pub,1
swiss.social,swiss.social,2
brain.worm.pink,tech.lgbt,3
spinster.xyz,hispagatos.space,1
postnstuffds.lol,nicecrew.digital,5
mistodon.cloud,mistodon.cloud,25
musicians.today,musicians.today,8
donotsta.re,wetdry.world,3
corneill.es,corneill.es,3
famichiki.jp,famichiki.jp,25
mementomori.social,mementomori.social,6
tux.social,tux.social,1
mastodontech.de,mastodontech.de,26
freiburg.social,freiburg.social,2
xn--p1abe3d.xn--80asehdb,sacred.harpy.faith,2
social.helios42.de,social.helios42.de,2
locksport.space,locksport.space,2
decayable.ink,nicecrew.digital,340
decayable.ink,clew.lol,42
social.spejset.org,social.spejset.org,1
social.xenofem.me,hellspawn.gay,2
decayable.ink,eveningzoo.club,34
decayable.ink,shitposter.world,11
decayable.ink,norwoodzero.net,1
social.adridoesthings.com,social.adridoesthings.com,43
shakedown.social,shakedown.social,39
chalk.moe,chalk.moe,7
techhub.social,techhub.social,75
annihilation.social,annihilation.social,232
precure.ml,precure.ml,2
annihilation.social,sacred.harpy.faith,29
annihilation.social,nicecrew.digital,432
annihilation.social,clubcyberia.co,22
annihilation.social,social.vivaldi.net,8
annihilation.social,poa.st,111
annihilation.social,noauthority.social,49
annihilation.social,www.minds.com,23
annihilation.social,majestic12.airforce,23
annihilation.social,detroitriotcity.com,5
mstdn.ca,universeodon.com,64
mstdn.ca,mas.to,88
mstdn.ca,calckey.world,9
mstdn.ca,fwoof.space,13
mstdn.ca,mastodon.scot,8
mofu.kemo.no,mofu.kemo.no,12
mstdn.ca,mstdn.moimeme.ca,41
eveningzoo.club,nicecrew.digital,77
eveningzoo.club,noauthority.social,9
eveningzoo.club,detroitriotcity.com,2
mstdn.ca,toots.ravenoak.dev,1
mstdn.ca,infosec.exchange,94
mstdn.ca,mastodon.bsd.cafe,9
mstdn.ca,cosocial.ca,34
mstdn.ca,toot.wales,10
micro.marcriera.cat,micro.marcriera.cat,3
mstdn.ca,sigmoid.social,1
mstdn.ca,socialbc.ca,1
mstdn.ca,toot.io,3
mstdn.ca,veganism.social,2
akko.wtf,social.vlhl.dev,1
akko.wtf,eepy.moe,5
akko.wtf,brotka.st,2
mastodon.sdf.org,mastodon.sdf.org,49
mstdn.ca,mastodon.sdf.org,20
mstdn.ca,hostux.social,2
mstdn.ca,sportsbots.xyz,14
mstdn.ca,stefanbohacek.online,2
mstdn.ca,toot.cat,7
mstdn.ca,theblower.au,10
mstdn.ca,mstdn.social,140
mstdn.ca,ruby.social,1
mstdn.ca,toot.community,6
dice.camp,dice.camp,135
seal.cafe,seal.cafe,21
ponies.social,ponies.social,15
argon.city,argon.city,1
oc.todon.fr,oc.todon.fr,12
queer.hacktivis.me,queer.hacktivis.me,1
social.nekoea.red,mastodon.ml,1
digipres.club,digipres.club,21
socel.net,socel.net,6
oldbytes.space,oldbytes.space,8
twiukraine.com,twiukraine.com,5
freesoftwareextremist.com,social.xenofem.me,1
freesoftwareextremist.com,suya.place,1
freesoftwareextremist.com,mi.shiromaru.work,1
freesoftwareextremist.com,catposter.club,1
freesoftwareextremist.com,minidisc.tokyo,3
freesoftwareextremist.com,infosec.exchange,1
freesoftwareextremist.com,mastodon.online,2
social.xenofem.me,hollow.raccoon.quest,1
toot.wales,toot.wales,20
seal.cafe,annihilation.social,7
social.kyiv.dcomm.net.ua,social.kyiv.dcomm.net.ua,13
lebalkon.de,norden.social,1
metalhead.club,metalhead.club,5
social.prepedia.org,social.prepedia.org,2
gruene.social,gruene.social,14
mastodon.de,climatejustice.social,5
mastodon.de,zdf.social,1
toot.kif.rocks,toot.kif.rocks,2
c7.io,c7.io,16
whinge.town,whinge.town,12
mstdn.ca,disabled.social,13
mstdn.ca,mapstodon.space,5
mstdn.ca,social.ridetrans.it,3
mastodon.com.br,mastodon.com.br,6
brain.worm.pink,lab.nyanide.com,12
expressional.social,f3d1.eu,1
expressional.social,pol.social,1
expressional.social,101010.pl,3
socially.drinkingatmy.computer,shortstacksran.ch,1
fedi.nlpagan.net,waag.social,1
mstdn.ca,mastodonapp.uk,7
mstdn.ca,lonestar.chat,2
clew.lol,decayable.ink,38
clew.lol,parcero.bond,1
clew.lol,mitra.taihou.website,6
clew.lol,ak.kyaruc.moe,3
clew.lol,mostr.pub,8
mstdn.ca,historians.social,8
mastodon.stickbear.me,babka.social,3
mastodon.stickbear.me,chatwithus.live,16
mastodon.stickbear.me,mastodon.stickbear.me,34
yourwalls.today,is.badat.dev,3
spinster.xyz,shitposter.world,34
decayable.ink,mugicha.club,3
decayable.ink,mostr.pub,2
decayable.ink,majestic12.airforce,3
decayable.ink,seal.cafe,8
brain.worm.pink,labyrinth.zone,6
brain.worm.pink,mk.noob.quest,8
clew.lol,annihilation.social,24
clew.lol,misskey.bubbletea.dev,1
clew.lol,seal.cafe,3
clew.lol,nicecrew.digital,61
clew.lol,majestic12.airforce,12
clew.lol,netzsphaere.xyz,4
clew.lol,shitpost.cloud,2
majestic12.airforce,seal.cafe,2
majestic12.airforce,clew.lol,12
majestic12.airforce,mostr.pub,1
majestic12.airforce,decayable.ink,8
majestic12.airforce,girlboss.gaslight.love,1
majestic12.airforce,posting.lolicon.rocks,1
indieweb.social,indieweb.social,28
clew.lol,lab.nyanide.com,1
clew.lol,hellspawn.gay,1
lepoulsdumonde.com,lepoulsdumonde.com,334
gohan-oisii.net,gohan-oisii.net,3
zy.gy,zy.gy,1
tootr.co,tootr.co,2
eveningzoo.club,poa.st,73
eveningzoo.club,gearlandia.haus,1
eveningzoo.club,clubcyberia.co,5
eveningzoo.club,eientei.org,1
mstdn.ca,zeroes.ca,53
mstdn.ca,tldr.nettime.org,5
mstdn.ca,techhub.social,21
mstdn.ca,urbanists.social,8
mstdn.ca,mastodon.cloud,6
mstdn.ca,social.tchncs.de,7
mstdn.ca,hackers.town,4
mstdn.ca,ieji.de,4
