实例ID,内部回复数,内部转发数,内部点赞数,内部互动总数,跨实例主动回复数,跨实例主动转发数,跨实例主动点赞数,跨实例主动互动总数,跨实例被动回复数,跨实例被动转发数,跨实例被动点赞数,跨实例被动互动总数,跨实例总互动数
social.heycuauh.com,0,0,0,0,0,2,2,4,0,0,0,0,4
pnw.zone,0,2,12,14,0,123,260,383,1,23,84,108,491
ipv6.social,0,0,1,1,0,31,87,118,0,0,2,2,120
rodina-sucha.cz,0,0,0,0,0,4,31,35,0,1,1,2,37
sueden.social,21,40,177,238,0,2248,5013,7261,5,544,1514,2063,9324
social.gilespaterson.com,0,0,0,0,0,1,0,1,0,0,0,0,1
ak.angelstrapped.com,1,4,2,7,0,4,16,20,0,0,0,0,20
m.bonzoesc.net,0,0,0,0,0,0,2,2,0,0,0,0,2
fedi.absturztau.be,7,0,1,8,16,23,22,61,1,4,25,30,91
social.odessa.dcomm.net.ua,0,0,0,0,0,0,1,1,0,0,1,1,2
proto7.io,0,0,0,0,0,0,3,3,0,0,0,0,3
someplace.social,0,0,0,0,0,0,1,1,0,1,1,2,3
m.nintendojo.fr,0,0,1,1,0,42,23,65,0,0,0,0,65
meowr.me,0,1,0,1,0,0,2,2,0,5,4,9,11
incestlovers.moe,0,0,0,0,0,0,15,15,0,0,0,0,15
flipboard.social,4,32,15,51,0,123,320,443,3,425,440,868,1311
nicomedkey.cc,0,0,0,0,0,1,0,1,0,0,0,0,1
geraffel.social,0,0,0,0,0,29,38,67,0,0,0,0,67
social.matthewreynolds.net,0,0,0,0,0,1,53,54,0,0,0,0,54
core.s-config.com,0,0,0,0,0,0,1,1,0,0,0,0,1
linfan.moe,4,1,3,8,13,0,14,27,16,8,73,97,124
social.joostagterhoek.nl,0,0,0,0,1,0,6,7,0,0,0,0,7
mstdn.yakitamago.info,0,0,0,0,0,2,0,2,0,0,0,0,2
shouldagoneoffroad.com,0,0,0,0,0,3,4,7,0,0,0,0,7
mastodon.nekojimi.moe,0,0,0,0,0,0,1,1,0,0,0,0,1
phire.place,0,0,0,0,0,85,199,284,0,0,0,0,284
mastodon.kylerank.in,0,0,0,0,0,1,3,4,0,49,55,104,108
social.dc6jgk.de,0,0,0,0,0,0,3,3,0,0,0,0,3
posthat.ca,0,0,0,0,0,1,3,4,0,0,0,0,4
social.monkeysthumb.co.uk,0,0,0,0,0,2,18,20,0,0,1,1,21
bakedbean.xyz,1,0,1,2,0,28,125,153,0,0,2,2,155
ono-sendai.jevidl.net,0,0,0,0,0,5,3,8,0,0,0,0,8
ashlande.rs,1,0,0,1,0,1,1,2,0,0,1,1,3
v2br.social,0,1,1,2,0,16,46,62,0,0,0,0,62
sarcasm.stream,0,0,0,0,0,2,3,5,0,1,5,6,11
mastodon.orko.it,0,0,0,0,0,0,7,7,0,0,0,0,7
labyrinth.social,1,0,7,8,0,21,86,107,0,6,26,32,139
masto.ctms.me,0,0,0,0,0,1,6,7,0,0,0,0,7
dobbs.town,2,16,44,62,0,200,712,912,4,24,68,96,1008
under-bank.blue,2,8,31,41,0,33,60,93,0,3,37,40,133
uff.rip,0,0,0,0,0,0,30,30,0,0,0,0,30
mastodon.aventer.biz,2,0,0,2,0,6,17,23,0,0,3,3,26
mato.social,0,0,0,0,0,32,33,65,0,5,7,12,77
boteden.com,0,0,0,0,0,1,1,2,0,0,1,1,3
social.uggs.io,0,0,0,0,0,0,1,1,0,2,2,4,5
social.goodanser.com,0,0,0,0,0,0,0,0,0,151,361,512,512
xn--y9azesw6bu.xn--y9a3aq,0,0,0,0,0,2,0,2,0,0,0,0,2
vtdon.com,2,0,3,5,0,0,0,0,0,3,1,4,4
social.threata.gent,0,0,0,0,0,6,0,6,0,1,0,1,7
eeee.no,0,0,0,0,0,12,12,24,0,0,0,0,24
hoto.moe,0,0,0,0,0,12,24,36,0,0,0,0,36
mstdn.anqou.net,0,0,0,0,0,8,5,13,0,0,0,0,13
nicht-so.social,0,0,0,0,0,1,1,2,0,0,3,3,5
the-box.work,0,0,0,0,0,0,1,1,0,0,0,0,1
mikrotik.social,0,0,0,0,0,1,1,2,0,5,7,12,14
social.harter.us,1,0,0,1,0,0,1,1,0,0,7,7,8
gts.dalaran.fr,0,0,0,0,0,0,1,1,0,0,0,0,1
rap.social,0,0,0,0,0,8,4,12,0,0,0,0,12
helo.fuse.pl,0,0,0,0,0,1,3,4,0,0,0,0,4
mastodon.dragoncave.dev,0,0,0,0,0,4,8,12,0,0,0,0,12
mastodon.tmm.cx,0,1,0,1,0,1,2,3,0,1,9,10,13
mstdn.nagito.net,1,3,4,8,0,0,0,0,0,4,24,28,28
patchouli.today,0,0,0,0,0,0,1,1,0,0,0,0,1
mastodon.shbbl.dev,0,0,0,0,0,5,30,35,0,0,0,0,35
signal.dadalo.pl,0,0,0,0,0,3,11,14,0,2,0,2,16
mini.log.br,0,0,0,0,0,0,4,4,0,0,0,0,4
social.azlux.fr,0,0,0,0,0,2,1,3,0,0,0,0,3
xn--trt-tna.wala2x.de,0,0,0,0,0,0,3,3,0,0,0,0,3
social.lahevirta.fi,0,0,0,0,0,1,2,3,0,0,0,0,3
premis.one,0,0,0,0,0,6,6,12,0,0,0,0,12
social.blakesmith.me,0,0,0,0,0,0,1,1,0,0,0,0,1
mastodon.jalgi.eus,0,0,0,0,0,4,4,8,0,0,0,0,8
mapstodon.space,9,11,19,39,0,295,569,864,5,51,78,134,998
m.joescharf.com,0,0,0,0,0,14,8,22,0,0,1,1,23
mastodon.kristofferjohansson.com,0,0,0,0,0,1,4,5,0,1,4,5,10
mastodon.ostertag.team,0,0,0,0,0,4,1,5,0,0,0,0,5
pardal.agoranet.info,0,0,0,0,0,0,0,0,0,2,2,4,4
social.zoski.fr,0,0,0,0,2,4,0,6,0,0,1,1,7
lamp.leemoon.network,0,0,0,0,0,27,73,100,1,0,0,1,101
mstdn.social,2157,5950,10750,18857,0,24172,39472,63644,160,57682,100212,158054,221698
fox.nexus,0,0,0,0,0,1,12,13,0,0,0,0,13
mastodon.thenewoil.org,0,0,0,0,0,32,2,34,0,65,57,122,156
adrift.fyi,0,0,0,0,0,1,10,11,0,0,0,0,11
friendica.nthomas20.net,0,0,0,0,0,6,42,48,0,0,0,0,48
hades.town,0,0,0,0,0,2,0,2,0,0,0,0,2
thehappyfamily.stream,0,5,7,12,0,2,13,15,1,0,1,2,17
squirrel.pub,0,2,0,2,0,0,30,30,0,14,22,36,66
fuzzies.wtf,3,1,1,5,0,8,9,17,0,8,37,45,62
dan.mastohon.com,0,1,0,1,0,1,3,4,0,3,51,54,58
mastodon-projekt.uni-muenster.de,0,1,1,2,0,2,3,5,0,0,0,0,5
noavailabledisk.space,0,0,0,0,0,1,26,27,0,0,0,0,27
the.teabag.ninja,0,0,0,0,0,7,17,24,0,0,0,0,24
cybercuties.net,0,0,0,0,0,0,7,7,0,0,0,0,7
justbros.xyz,0,0,0,0,2,0,0,2,0,0,1,1,3
hl.oyasumi.dev,0,0,0,0,0,1,5,6,0,0,0,0,6
waytoomuch.info,0,0,0,0,0,3,23,26,0,0,0,0,26
holzer.social,0,0,0,0,0,0,0,0,0,0,1,1,1
mastodon.mariobreskic.de,1,0,2,3,0,0,3,3,0,0,0,0,3
tootsweet.social,0,0,0,0,0,4,7,11,0,0,0,0,11
ocalaavenue.net,0,0,0,0,0,1,4,5,0,0,6,6,11
mathstodon.xyz,40,94,275,409,0,1458,3063,4521,7,1640,2278,3925,8446
otakuyamero.online,0,0,0,0,0,2,0,2,0,0,0,0,2
x0f.org,0,0,0,0,0,2,4,6,1,0,0,1,7
fed.mthie.com,0,0,0,0,0,613,8,621,0,0,0,0,621
nojack.easydns.ca,0,0,0,0,0,2,2,4,0,3,10,13,17
mastodon.novadata.app,0,0,0,0,0,1,6,7,0,0,0,0,7
backs.day,0,0,0,0,0,0,0,0,0,0,1,1,1
polyglot.city,0,0,0,0,0,154,356,510,2,0,0,2,512
federatedfandom.net,5,2,53,60,0,27,134,161,0,11,39,50,211
w3c.social,0,4,1,5,0,27,36,63,0,63,37,100,163
bolha.photos,0,0,0,0,0,0,8,8,0,0,0,0,8
letallmortalfleshfindtheirvoice.social,0,0,0,0,0,0,1,1,0,0,0,0,1
fediverse.wesnoth.org,0,0,0,0,1,0,0,1,0,0,0,0,1
lincolnite.net,0,0,1,1,0,17,123,140,0,0,4,4,144
nafo.army,0,0,0,0,0,164,164,328,0,0,0,0,328
snipetteville.in,0,0,0,0,0,6,0,6,0,6,5,11,17
troet.karlvalentin.de,0,0,0,0,0,0,3,3,0,0,1,1,4
mastodon.surazal.net,0,0,0,0,0,0,54,54,0,0,0,0,54
fedi.mkv.farted.net,0,0,0,0,0,0,3,3,0,0,0,0,3
smugcat.moe,0,0,0,0,0,8,5,13,0,0,0,0,13
bidule.menf.in,0,0,0,0,1,13,5,19,0,1,5,6,25
devco.social,0,0,0,0,0,1,0,1,0,0,0,0,1
nologo.social,0,0,0,0,0,0,0,0,0,0,1,1,1
widget.uk,0,0,0,0,0,3,15,18,0,1,1,2,20
bebopping.social,0,0,0,0,0,0,2,2,0,0,0,0,2
taps.good-eris.net,0,0,0,0,0,5,0,5,0,0,0,0,5
mastodon.blaede.family,2,0,0,2,0,15,74,89,0,27,36,63,152
erick.social,0,0,0,0,0,1,2,3,0,0,0,0,3
mastodon.moso.dev,0,0,0,0,0,0,0,0,0,2,6,8,8
niagara.social,0,2,2,4,0,4,17,21,0,4,1,5,26
abraum.social,0,0,0,0,0,0,1,1,0,6,5,11,12
mastodon.mrak.at,0,0,0,0,0,0,0,0,0,0,4,4,4
s.dodies.lv,0,0,0,0,0,22,6,28,0,0,0,0,28
social.lein.us,0,0,0,0,0,1,0,1,0,3,4,7,8
social.joshthomas.dev,1,0,0,1,0,0,0,0,0,1,7,8,8
sully.site,0,0,0,0,0,5,2,7,0,0,0,0,7
summerwind.blue,0,0,0,0,0,9,13,22,0,2,2,4,26
anymanystreams.cc,0,0,0,0,0,1,0,1,0,0,0,0,1
social.cute.engineering,0,0,0,0,0,1,0,1,0,0,0,0,1
s.schof.org,0,0,0,0,0,3,0,3,0,0,1,1,4
dsc.re,0,0,0,0,1,0,0,1,0,0,1,1,2
social.zeroplex.tw,0,0,0,0,0,4,1,5,0,1,2,3,8
digisociety.social,0,0,0,0,0,2,5,7,0,1,0,1,8
faf.social,0,0,0,0,0,14,1,15,0,0,0,0,15
bitwoods.duckdns.org,0,0,0,0,0,5,8,13,0,0,0,0,13
queralt.social,0,0,0,0,0,0,2,2,0,0,0,0,2
bauphysik.social,0,0,0,0,0,1,5,6,0,0,0,0,6
vk5fj.net,0,0,0,0,0,0,2,2,0,0,0,0,2
fedi.underscore.world,0,0,0,0,0,0,3,3,0,0,0,0,3
circumstances.run,0,0,0,0,0,252,269,521,1,0,0,1,522
member.ro,0,0,0,0,0,0,0,0,0,0,1,1,1
mastodon.laca.dev,0,0,0,0,0,10,14,24,0,0,0,0,24
bawü.social,0,0,0,0,0,0,0,0,0,40,57,97,97
mastodon.thirring.org,0,9,29,38,0,88,435,523,0,28,86,114,637
taquiones.net,0,0,0,0,0,33,19,52,0,0,0,0,52
nixie.name,10,0,0,10,0,1,43,44,0,1,26,27,71
social.glasgownet.com,0,0,0,0,0,3,1,4,0,0,0,0,4
mastodon.randomcat.org,0,0,0,0,0,0,3,3,0,0,0,0,3
urda.social,0,0,0,0,0,0,1,1,0,1,4,5,6
social.gulacsi.eu,0,0,0,0,0,20,37,57,0,0,0,0,57
masto.fediverse.games,0,0,0,0,0,8,5,13,0,0,0,0,13
social.netzspielplatz.de,0,0,0,0,0,3,1,4,0,0,0,0,4
misskey.m544.net,0,0,0,0,0,5,73,78,0,0,0,0,78
social.fohte.net,0,0,0,0,0,1,0,1,0,2,0,2,3
f.freinetz.ch,0,0,0,0,0,0,3,3,0,0,0,0,3
energiewende.social,1,0,0,1,0,38,5,43,0,126,135,261,304
mastodon.varjonvalo.fi,0,0,0,0,0,7,1,8,0,0,0,0,8
discuss.online,0,0,0,0,0,0,0,0,1,0,0,1,1
unkworks.net,0,0,0,0,0,0,2,2,0,0,1,1,3
brands.town,0,0,0,0,0,0,0,0,0,10,13,23,23
social.mezzo.moe,0,0,0,0,0,4,0,4,0,0,0,0,4
social.clawhammer.net,0,0,0,0,0,0,0,0,0,2,6,8,8
troetmund.de,0,0,0,0,0,0,1,1,0,0,0,0,1
social.ei8fdb.org,0,0,0,0,0,3,0,3,0,0,1,1,4
ucb.social,0,0,0,0,0,1,1,2,0,1,0,1,3
mstdn.ro,0,0,0,0,0,3,10,13,0,0,0,0,13
misskey.mugiko.moe,0,0,0,0,0,0,2,2,0,0,0,0,2
mastodon.electro.social,0,0,0,0,0,1,0,1,0,0,1,1,2
glitch.lgbt,0,0,0,0,0,3,9,12,0,26,22,48,60
social.abwesend.com,0,0,0,0,0,2,0,2,0,0,0,0,2
utveckla.re,0,0,0,0,0,0,2,2,0,0,0,0,2
czinege.social,1,0,0,1,0,5,8,13,0,3,0,3,16
findumon.de,0,0,0,0,0,0,5,5,0,0,0,0,5
qwwwq.cat,0,0,0,0,0,1,0,1,0,0,0,0,1
social.horrorhub.club,2,3,1,6,0,135,326,461,2,25,56,83,544
social.zym.lol,0,0,0,0,0,0,1,1,0,0,0,0,1
ovo.st,0,0,0,0,0,61,0,61,0,0,0,0,61
masto.onurb.net,0,0,0,0,0,0,1,1,0,0,3,3,4
mistodon.cloud,25,1,161,187,0,1,5,6,0,11,81,92,98
ruhr.social,11,52,169,232,0,2356,6179,8535,2,543,1229,1774,10309
social.jacobian.org,0,0,0,0,0,5,3,8,0,0,0,0,8
slashine.onl,0,0,0,0,0,67,131,198,0,0,0,0,198
fedi.owldog.dev,0,0,0,0,0,1,10,11,0,0,0,0,11
blue.yuv.pink,0,0,0,0,0,0,2,2,0,0,0,0,2
m.flaem.ing,0,0,0,0,0,0,1,1,0,0,0,0,1
zone.liolok.com,0,0,1,1,0,0,2,2,0,1,4,5,7
timeriver.xyz,1,0,0,1,0,0,0,0,0,0,0,0,0
mastodon.hucnet.ch,0,0,0,0,0,0,2,2,0,0,0,0,2
mstdn.wherehowardgoes.com,1,0,0,1,0,0,3,3,0,1,1,2,5
mastodon.simply-life.net,0,0,0,0,0,2,0,2,0,0,0,0,2
pleroma.chaoswit.ch,0,0,0,0,0,0,1,1,0,0,0,0,1
openbiblio.social,5,45,63,113,0,592,1158,1750,0,122,205,327,2077
pkutalk.com,0,1,3,4,0,6,16,22,1,0,0,1,23
mastodon.im,0,0,0,0,0,60,138,198,0,0,0,0,198
social.benlopatin.com,0,0,0,0,0,2,8,10,0,0,1,1,11
haz.pink,0,0,0,0,0,6,17,23,0,0,0,0,23
masto.fatwolfrunning.club,0,0,0,0,0,0,0,0,0,0,1,1,1
raccoon.place,0,0,0,0,0,0,4,4,0,0,0,0,4
stelpolva.moe,0,0,0,0,0,474,2235,2709,0,0,0,0,2709
relib.re,0,0,0,0,0,1,16,17,0,0,0,0,17
prsm.space,0,0,0,0,0,1,8,9,0,0,0,0,9
mastodon.hermitcollective.net,0,0,0,0,0,15,49,64,3,0,0,3,67
ap.sanwon.kr,0,0,0,0,0,3,8,11,0,0,0,0,11
1234.as,0,0,0,0,0,56,78,134,0,0,0,0,134
slayers.online,0,0,0,0,0,2,1,3,0,0,0,0,3
prettyaweso.me,0,0,0,0,0,0,4,4,0,0,22,22,26
social.adlerweb.info,0,0,0,0,0,3,1,4,0,1,0,1,5
vive.im,0,0,0,0,0,0,0,0,2,0,0,2,2
social.jonaskoeritz.de,0,0,0,0,0,5,94,99,0,0,0,0,99
www.urbanmind.net,0,0,0,0,0,2,6,8,0,0,0,0,8
social.afront.org,0,0,1,1,0,25,137,162,4,29,216,249,411
lou.lt,0,0,1,1,0,109,64,173,0,0,2,2,175
lazybear.social,0,0,0,0,0,11,15,26,0,0,0,0,26
teslam.in,0,0,0,0,0,1,19,20,0,0,0,0,20
posts.mu7ou.com,0,0,0,0,0,3,5,8,0,0,0,0,8
mkultra.x27.one,0,0,0,0,0,2,3,5,0,0,0,0,5
social.moerks.dk,0,0,0,0,0,3,2,5,0,2,10,12,17
social.choppa.xyz,0,0,0,0,0,1,2,3,0,0,0,0,3
mastodon.xn--t8jzbl7g.jp,0,0,0,0,0,6,0,6,0,0,0,0,6
arthropod.social,1,0,0,1,0,25,29,54,0,0,0,0,54
mi.taichan.site,0,0,0,0,0,1,2,3,0,0,0,0,3
tolppa.thermopylas.fi,0,0,0,0,0,1,2,3,0,0,0,0,3
toot.brsu.me,0,0,0,0,0,0,1,1,0,0,0,0,1
newsie.social,33,63,42,138,0,1232,2011,3243,23,1590,1563,3176,6419
lgtm.systems,0,0,0,0,0,0,0,0,0,0,1,1,1
gopinath.org,0,0,0,0,0,0,4,4,0,0,0,0,4
nagisa.town,0,0,0,0,0,3,0,3,0,0,0,0,3
social.calut.fr,0,0,0,0,0,2,4,6,0,0,0,0,6
trash.boutique,0,0,0,0,0,0,4,4,0,0,0,0,4
social.webitel.me,0,0,0,0,0,2,4,6,0,1,9,10,16
social.emile.space,0,0,0,0,0,0,8,8,0,0,0,0,8
fedi.srxl.me,0,0,0,0,0,0,3,3,0,0,0,0,3
fedi.ml,0,0,0,0,1,6,4,11,1,0,0,1,12
social.soraharu.app,0,0,0,0,0,0,1,1,0,0,0,0,1
sk.foopool.de,0,0,0,0,0,1,1,2,0,0,0,0,2
pachyder.me,0,0,0,0,0,10,22,32,0,0,0,0,32
i-love.liloandstit.ch,1,0,0,1,0,1,3,4,0,0,0,0,4
mastodon.hnaportal.net,0,0,0,0,0,0,0,0,0,0,6,6,6
meganekeesu.tokyo,0,13,296,309,0,19,67,86,0,7,31,38,124
dreamin.online,0,0,0,0,0,2,3,5,0,0,0,0,5
channel.coolstation.space,0,0,0,0,0,0,0,0,1,0,0,1,1
deadlymilehigh.club,0,0,0,0,0,14,0,14,0,0,0,0,14
kuzko.eu,0,0,0,0,0,1,1,2,0,0,0,0,2
vis.social,1,1,1,3,0,283,1107,1390,1,17,32,50,1440
community.openbeta.io,0,0,0,0,0,1,0,1,0,0,0,0,1
social.phoenixradio1208.com,0,2,0,2,0,0,0,0,0,1,0,1,1
masto.galooph.com,0,0,0,0,0,1,9,10,0,0,2,2,12
advent.social,0,0,0,0,0,0,2,2,0,0,0,0,2
elmoncho.cc,0,0,0,0,0,21,0,21,0,0,0,0,21
radikal.social,8,3,1,12,0,9,23,32,0,13,17,30,62
starcitizen.social,0,0,0,0,0,1,0,1,0,0,0,0,1
social.grautier.eu,0,0,0,0,0,8,37,45,0,0,0,0,45
supernatural.fans,0,0,0,0,0,1,1,2,0,0,0,0,2
allforall.network,0,0,0,0,0,0,1,1,0,0,0,0,1
mastodon.tymoon.eu,0,1,0,1,0,1,2,3,3,6,39,48,51
social.praxis.nyc,0,0,0,0,0,9,16,25,0,0,1,1,26
soc.jra.sh,0,0,0,0,1,4,22,27,0,4,7,11,38
soc.haj.gay,0,0,0,0,0,1,1,2,0,0,0,0,2
toot.earth,0,0,0,0,0,0,1,1,0,0,0,0,1
mastodon.gougere.fr,2,0,0,2,0,129,145,274,0,13,31,44,318
bloom.surf,0,0,0,0,0,1,5,6,0,0,0,0,6
social.aliceice.de,0,0,0,0,0,1,0,1,0,0,0,0,1
hilltown.studio,2,0,0,2,0,16,16,32,0,0,0,0,32
fed.interfree.ca,0,0,0,0,0,5,6,11,1,0,0,1,12
chillpeep.zone,1,0,0,1,0,0,5,5,0,1,1,2,7
mstdn.nere9.help,37,22,86,145,0,54,246,300,0,118,261,379,679
social.macg.co,0,0,0,0,0,1,0,1,0,0,0,0,1
tau-ceti.space,0,0,0,0,0,12,78,90,3,0,0,3,93
side.misskey.productions,0,0,0,0,0,2,16,18,0,0,0,0,18
screencastsonline.social,0,1,0,1,0,4,0,4,0,0,1,1,5
f.haeder.net,0,0,0,0,0,306,293,599,0,0,0,0,599
mst.universoalterno.es,0,0,0,0,0,4,11,15,0,0,3,3,18
social.ordinal.garden,0,0,0,0,0,4,25,29,0,0,0,0,29
mast.uxp.de,0,0,0,0,0,4,6,10,0,0,1,1,11
mastodon.yshi.org,0,0,0,0,0,4,17,21,0,0,3,3,24
mstdn.games,0,2,12,14,0,758,2617,3375,15,7,29,51,3426
barelysocial.org,0,0,0,0,0,5,4,9,0,1,3,4,13
tormentnexus.dev,0,0,0,0,0,0,1,1,0,0,0,0,1
jvalleroy.fbx.one,0,0,0,0,0,1,0,1,0,0,0,0,1
mastodon.motcha.tech,2,0,1,3,0,12,5,17,0,12,314,326,343
social.goldenhillsoftware.com,0,0,0,0,0,0,0,0,0,0,2,2,2
sns.mszpro.com,0,0,0,0,0,0,2,2,0,0,0,0,2
social.boeckli.net,0,1,0,1,0,0,22,22,0,3,8,11,33
toot.dusepo.co.uk,0,0,0,0,0,42,82,124,1,3,19,23,147
social.lol,28,47,437,512,0,577,2268,2845,4,429,1148,1581,4426
gots.beterlooknexttime.ru,0,0,0,0,0,1,0,1,0,0,0,0,1
gts.y.la,0,0,0,0,0,1,0,1,0,0,0,0,1
mastodon.radfoote.net,0,0,0,0,0,1,0,1,0,0,0,0,1
is.nota.live,0,0,0,0,0,23,120,143,0,0,0,0,143
kollegin.eu,0,0,0,0,0,0,0,0,0,0,1,1,1
fedi.circuitlocution.com,0,0,0,0,0,0,8,8,0,0,0,0,8
fed.foad.me.uk,0,0,0,0,0,12,0,12,0,0,1,1,13
superneko.net,0,0,0,0,0,0,1,1,0,0,0,0,1
devianze.city,0,0,0,0,0,61,18,79,0,2,5,7,86
wears.tigerpajamas.com,1,0,2,3,0,14,80,94,0,5,16,21,115
snac.bsd.cafe,0,0,0,0,0,35,27,62,5,0,0,5,67
republik.social,0,0,0,0,0,0,1,1,0,6,11,17,18
illegal.lewdum.download,0,0,0,0,0,2,0,2,0,0,0,0,2
iceshrimp.spathoche.ovh,0,0,0,0,0,21,1,22,0,0,0,0,22
blacktwitter.io,0,0,0,0,0,9,10,19,0,6,24,30,49
catgirl.farm,0,0,0,0,0,9,11,20,1,0,0,1,21
noodle.social,0,0,0,0,0,6,55,61,0,16,29,45,106
mastodon.star-one.org.uk,0,0,0,0,0,8,0,8,0,0,2,2,10
indieapps.space,0,0,0,0,0,11,9,20,0,17,37,54,74
typing.ink,1,0,0,1,0,2,3,5,0,0,1,1,6
mastodon.dias.ie,0,0,0,0,0,27,17,44,0,2,1,3,47
banjo.town,0,0,0,0,0,2,5,7,0,0,0,0,7
qth.social,0,0,0,0,0,1,1,2,0,0,0,0,2
upp2.com,0,0,0,0,0,8,16,24,0,0,0,0,24
punk.cyber77.de,0,0,0,0,0,56,173,229,2,0,0,2,231
social.familylison.com,0,0,0,0,0,4,16,20,0,2,24,26,46
social.violetmillie.me,0,0,0,0,0,0,16,16,0,0,0,0,16
ice-lolly.social,1,1,2,4,0,0,5,5,0,5,18,23,28
social.asturias.red,2,0,0,2,0,0,1,1,0,11,19,30,31
retrophisch.social,0,0,0,0,0,0,17,17,0,0,0,0,17
u2.social,0,0,0,0,0,0,5,5,0,0,0,0,5
mastodon.cattail.uk,0,0,0,0,0,0,0,0,0,0,1,1,1
brinjal.org,0,0,0,0,0,0,1,1,0,0,0,0,1
fedi.xerz.one,0,0,0,0,0,5,22,27,1,0,0,1,28
biketoot.com,0,0,0,0,0,20,82,102,0,0,0,0,102
pleroma.arielbecker.com,0,0,0,0,0,20,29,49,0,0,0,0,49
m.aqr.af,0,0,0,0,0,4,8,12,0,32,51,83,95
gamerr.cyou,0,0,0,0,0,24,48,72,0,0,0,0,72
akko.innumerable-wounds.com,0,0,0,0,0,0,1,1,0,0,0,0,1
eldritch.cafe,0,0,0,0,0,2829,5599,8428,3,0,0,3,8431
social.dogfire.de,0,0,0,0,0,1,0,1,0,0,1,1,2
virtualkemomimi.net,0,0,0,0,0,0,1,1,0,0,0,0,1
otisburg.social,0,0,0,0,0,1,36,37,0,0,0,0,37
loci.onl,0,0,0,0,0,14,51,65,0,0,0,0,65
social.dog-s.global,0,0,0,0,0,9,5,14,0,3,5,8,22
strangeminds.social,0,0,0,0,0,1,0,1,0,0,2,2,3
ifwo.eu,5,1,4,10,0,5,7,12,0,0,0,0,12
mastodon.ozioso.online,0,0,0,0,0,0,0,0,0,210,404,614,614
e-ongle.ata-aq.me,0,0,0,0,0,4,3,7,0,0,0,0,7
social.spielenmitlili.com,0,0,0,0,0,1,11,12,0,0,0,0,12
mastodon.familie-tux.de,0,0,0,0,0,1,0,1,0,0,0,0,1
dragon.style,0,0,0,0,0,111,224,335,0,0,0,0,335
status.fberriman.com,0,0,0,0,0,0,7,7,0,0,0,0,7
colquitt.xyz,0,0,0,0,0,0,1,1,0,21,33,54,55
xtaldave.net,2,0,0,2,0,29,3,32,0,7,10,17,49
frootmig.net,0,0,0,0,0,0,7,7,0,0,0,0,7
toots.deds.nl,0,0,0,0,0,2,2,4,0,0,2,2,6
lor.sh,0,0,0,0,0,1328,368,1696,3,0,0,3,1699
mastodon.vegh.social,0,0,0,0,0,1,1,2,0,0,2,2,4
micro.marcriera.cat,3,0,0,3,0,0,0,0,0,5,20,25,25
butts.team,0,0,0,0,0,5,26,31,0,1,5,6,37
vtuber.house,0,0,1,1,0,2,16,18,0,0,1,1,19
msky.misononoa.cc,0,0,0,0,0,0,1,1,0,0,0,0,1
f.spc.dedyn.io,0,0,0,0,0,0,25,25,0,0,0,0,25
masto.canadiancivil.com,0,0,0,0,0,8,13,21,5,4,15,24,45
follow.coryd.dev,0,0,0,0,0,10,16,26,0,7,21,28,54
social.bremen.social,0,0,0,0,0,1,6,7,0,0,0,0,7
mastodon.partipirate.org,0,0,0,0,0,86,44,130,0,1,2,3,133
social.foxis.dev,0,0,0,0,0,2,27,29,0,0,0,0,29
social.kreuder.me,0,0,0,0,0,0,4,4,0,0,0,0,4
alteholz.social,0,0,0,0,0,1,0,1,0,0,0,0,1
social.endersonmaia.com.br,0,0,0,0,0,0,1,1,0,0,0,0,1
mastodon.rpicloud.de,1,0,0,1,0,0,0,0,0,0,0,0,0
sup.zyd.lol,0,0,0,0,0,2,1,3,0,0,0,0,3
toot.zof.sh,0,0,0,0,0,0,8,8,0,0,0,0,8
social.mmalecki.com,1,0,0,1,0,0,0,0,0,0,1,1,1
sakurajima.moe,10,18,44,72,0,139,676,815,1,103,201,305,1120
snug.town,0,0,0,0,0,7,77,84,0,3,8,11,95
tastybugs.club,0,0,0,0,0,0,0,0,0,0,2,2,2
rodent.life,0,0,0,0,0,0,2,2,0,0,0,0,2
a.n0id.space,0,0,0,0,0,34,8,42,1,0,0,1,43
mas.wrong.tools,0,0,0,0,0,1,9,10,0,0,0,0,10
gleasonator.com,0,0,0,0,0,8,9,17,1,0,0,1,18
signalnine.net,0,0,0,0,0,0,1,1,0,0,0,0,1
wanderingwires.net,0,0,0,0,0,14,17,31,0,0,0,0,31
fediverse.pictures,0,0,0,0,0,175,0,175,0,0,0,0,175
social.security.plumbing,0,0,1,1,0,6,25,31,0,0,10,10,41
mitten.dur.ch,0,0,0,0,0,2,4,6,0,0,0,0,6
c.im,102,116,227,445,0,4122,6321,10443,26,2423,4960,7409,17852
mastodon.tucsonsentinel.com,0,0,0,0,0,0,0,0,0,2,1,3,3
hoosier.social,0,2,7,9,0,98,418,516,0,17,27,44,560
retro-gaiden.com,0,4,10,14,0,33,120,153,0,5,13,18,171
fluf.club,21,0,0,21,0,0,3,3,2,0,0,2,5
evilfoundry.net,0,0,0,0,0,6,1,7,0,0,0,0,7
pix.securelab.eu,0,0,0,0,0,12,34,46,0,0,0,0,46
linke.social,0,1,1,2,0,49,31,80,0,3,7,10,90
masto.bg,0,0,0,0,0,30,24,54,0,3,1,4,58
timetheft.social,5,0,94,99,0,39,176,215,0,1,58,59,274
