发起实例,目标实例,互动次数
skaya.ligun.net,skaya.ligun.net,3
mstdn.guru,mstdn.guru,386
upload.chat,upload.chat,2
nrw.social,nrw.social,1449
social.gibiris.org,wandering.shop,2
social.gibiris.org,social.gibiris.org,1
fnordon.de,fnordon.de,218
fidget.place,fidget.place,1
mastorol.es,mastorol.es,65
shelter.moe,shelter.moe,91
brain.worm.pink,brain.worm.pink,506
bassam.social,bassam.social,18
brain.worm.pink,boymilk.cafe,3
chaos.social,chaos.social,13494
social.emarhavil.com,recurse.social,1
brain.worm.pink,wetdry.world,69
zeal.center,zeal.center,4
toot.cat,toot.cat,147
yourwalls.today,yourwalls.today,104
mastodon.art,mastodon.art,6017
mastodon.ie,mastodon.ie,1818
mainburg.hallertau.social,mainburg.hallertau.social,1
girlboss.gaslight.love,stereophonic.space,1
girlboss.gaslight.love,girlboss.gaslight.love,22
sueden.social,sueden.social,238
sfba.social,sfba.social,2315
mstdn.ca,tech.lgbt,29
mstdn.ca,beige.party,1023
mstdn.ca,mastodon.online,946
mstdn.ca,thepit.social,16
mstdn.ca,caneandable.social,46
mstdn.ca,octodon.social,12
mstdn.ca,social.linux.pizza,4
mstdn.ca,dragonscave.space,45
mstdn.ca,sfba.social,294
mstdn.ca,newsie.social,83
clew.lol,cum.salon,8
mastodon.bot,mastodon.bot,11
mastodon.stickbear.me,fedi.adamm.cc,10
mastodon.stickbear.me,dragonscave.space,38
shortstacksran.ch,nicecrew.digital,13
shortstacksran.ch,misskey.yandere.love,3
shortstacksran.ch,noauthority.social,1
aklp.club,plasmatrap.com,1
friendica.katholisch.social,fosstodon.org,1
ak.angelstrapped.com,ak.angelstrapped.com,7
kind.social,kind.social,780
mstdn.yuicho.net,mstdn.yuicho.net,6
simian.rodeo,simian.rodeo,3
social.joshtriplett.org,toot.cat,2
wandering.shop,wandering.shop,555
kotobaphil-mtdn.eu,kotobaphil-mtdn.eu,41
nyan.network,bark.lgbt,1
mstdn.ca,mastodon.world,717
mstdn.ca,freeradical.zone,2
mstdn.ca,fosstodon.org,92
spinster.xyz,poa.st,13
mstdn.ca,ohai.social,96
mstdn.ca,zirk.us,44
sakurajima.moe,sakurajima.moe,72
mstdn.ca,wandering.shop,83
shortstacksran.ch,varishangout.net,2
social.wake.st,social.wake.st,1
shortstacksran.ch,mugicha.club,3
shortstacksran.ch,poa.st,8
shortstacksran.ch,wolfgirl.bar,2
shortstacksran.ch,spinster.xyz,1
shortstacksran.ch,norwoodzero.net,1
shortstacksran.ch,pone.social,7
shrike.club,shrike.club,158
mastodon.nz,mastodon.nz,1346
tkz.one,tkz.one,109
mstdn.mx,mstdn.mx,80
detroitriotcity.com,detroitriotcity.com,226
hellspawn.gay,transfem.social,10
hellspawn.gay,hellspawn.gay,57
donotsta.re,mas.to,15
hellspawn.gay,kitsunes.gay,4
botsin.space,botsin.space,24
mstdn.ca,todon.eu,1
mstdn.ca,social.coop,27
mstdn.ca,social.cologne,2
spinster.xyz,noauthority.social,90
mstdn.ca,hachyderm.io,274
mstdn.ca,jasette.facil.services,11
mastodon.nu,mastodon.nu,698
mstdn.ca,hear-me.social,10
bolha.one,bolha.one,255
functional.cafe,functional.cafe,10
norwoodzero.net,pl.valkyrie.world,1
forcefemm.ing,forcefemm.ing,1
freude.social,freude.social,1
forcefemm.ing,gts.apicrim.es,1
norden.social,norden.social,6137
netzsphaere.xyz,queer.hacktivis.me,6
netzsphaere.xyz,mk.absturztau.be,1
netzsphaere.xyz,misskey.bubbletea.dev,1
netzsphaere.xyz,shitposter.world,58
cupoftea.social,cupoftea.social,132
mstdn.maud.io,mstdn.maud.io,354
framapiaf.org,framapiaf.org,484
chaosfem.tw,mastodon.sandwich.net,1
chaosfem.tw,corteximplant.com,2
chaosfem.tw,anarres.family,4
chaosfem.tw,mas.to,85
shitpost.cloud,cawfee.club,3
social.teia.bio.br,social.br-linux.org,1
social.teia.bio.br,bolha.one,3
detroitriotcity.com,breastmilk.club,5
fairy.id,fairy.id,12
detroitriotcity.com,rebel.ar,1
detroitriotcity.com,varishangout.net,6
detroitriotcity.com,clubcyberia.co,2
detroitriotcity.com,zhub.link,1
uwyn.net,uwyn.net,1
spinster.xyz,bgme.me,1
noauthority.social,noauthority.social,15190
chaosfem.tw,mstdn.social,107
chaosfem.tw,sauropods.win,3
weird.autos,weird.autos,78
a11y.info,a11y.info,1
subdued.social,subdued.social,10
lawsocial.org,lawsocial.org,2
atx.pub,atx.pub,2
swiss.social,swiss.social,119
brain.worm.pink,tech.lgbt,3
spinster.xyz,hispagatos.space,1
postnstuffds.lol,nicecrew.digital,5
mistodon.cloud,mistodon.cloud,187
musicians.today,musicians.today,19
donotsta.re,wetdry.world,35
corneill.es,corneill.es,10
