发起实例,目标实例,互动次数
laserdisc.party,thesnakepostoffice.online,5
mspsocial.net,thesnakepostoffice.online,1
magnificentbeardsfan.club,thesnakepostoffice.online,2
godforsaken.website,thesnakepostoffice.online,1
social.catastrophic.horse,thesnakepostoffice.online,1
labyrinth.social,thesnakepostoffice.online,1
cooler.mom,thesnakepostoffice.online,1
bananachips.club,thesnakepostoffice.online,1
girlcock.club,thesnakepostoffice.online,1
mastodon.social,thesnakepostoffice.online,1
twoot.site,thesnakepostoffice.online,1
lgbt.io,thesnakepostoffice.online,1
medievalist.masto.host,thesnakepostoffice.online,1
literatur.social,thesnakepostoffice.online,1
elekk.xyz,thesnakepostoffice.online,1
hackers.town,thesnakepostoffice.online,1
xn--69a.xn--99axc.xn--y9a3aq,xn--69a.xn--99axc.xn--y9a3aq,2
mastodon.social,fediver.de,1
apobangpo.space,borahae.love,5
blorbo.social,borahae.love,1
gts.cybre.ninja,linuxlab.sh,1
fedi.reclaim.technology,linuxlab.sh,1
social.meyer.cz,social.meyer.cz,1
hachyderm.io,deepspace.social,1
fosstodon.org,energydon.fi,2
piipitin.fi,energydon.fi,2
layer8.space,energydon.fi,1
narrativ.es,tane.codes,1
polyglot.city,tane.codes,1
mastodon.kylemacquarrie.co.uk,tane.codes,1
merveilles.town,tane.codes,1
ruby.social,tane.codes,1
sivar.cafe,tane.codes,1
hachyderm.io,tane.codes,1
circumstances.run,tane.codes,1
digitalcourage.social,myside-yourside.net,1
masto.ai,social.arroutaflix.com,1
mastodon.social,social.arroutaflix.com,1
social.yakshed.org,social.yakshed.org,1
social.troll.academy,mastodon.functional.computer,1
hachyderm.io,mastodon.functional.computer,1
mastodon.nu,skrivel.se,1
mastodonsweden.se,skrivel.se,1
chaosfem.tw,io.waxandleather.com,1
mstdn.bitwalker.eu,io.waxandleather.com,1
mstdn.social,io.waxandleather.com,2
mastodon.ie,io.waxandleather.com,1
bitbang.social,io.waxandleather.com,1
mastodon.social,io.waxandleather.com,6
mastodon.art,io.waxandleather.com,1
sonomu.club,io.waxandleather.com,2
ursal.zone,io.waxandleather.com,1
ioc.exchange,io.waxandleather.com,1
exile.social,io.waxandleather.com,1
mspsocial.net,io.waxandleather.com,1
infosec.space,io.waxandleather.com,1
mastodon.online,io.waxandleather.com,1
infosec.exchange,io.waxandleather.com,1
musicians.today,io.waxandleather.com,2
mstdn.party,io.waxandleather.com,1
ravenation.club,io.waxandleather.com,1
mas.to,io.waxandleather.com,3
sfba.social,io.waxandleather.com,1
hachyderm.io,io.waxandleather.com,1
beige.party,io.waxandleather.com,1
fosstodon.org,io.waxandleather.com,1
friend.camp,io.waxandleather.com,1
pixelfed.social,io.waxandleather.com,1
heads.social,io.waxandleather.com,1
guitar.rodeo,io.waxandleather.com,1
mastodon.sdf.org,io.waxandleather.com,1
musician.social,io.waxandleather.com,1
social.yesterweb.org,io.waxandleather.com,1
mastinsaan.in,mastinsaan.in,2
fosstodon.org,mastinsaan.in,1
ohai.social,mstdn.co.uk,1
corneill.es,mastodon.cgx.me,1
hostux.social,mastodon.cgx.me,1
mastodon.de,fosspri.de,1
toot.cafe,sarcasm.stream,1
mastodon.sdf.org,sarcasm.stream,1
social.sdfeu.org,sarcasm.stream,1
mastodon.me.uk,sarcasm.stream,1
social.chatty.monster,sarcasm.stream,1
thehappyfamily.stream,thehappyfamily.stream,7
chaos.social,toot.teckids.org,14
nrw.social,toot.teckids.org,4
mastodon.world,toot.teckids.org,1
toot.teckids.org,toot.teckids.org,2
hespere.de,toot.teckids.org,1
piraten-partei.social,toot.teckids.org,1
muenchen.social,toot.teckids.org,2
berlin.social,toot.teckids.org,2
pfalz.social,toot.teckids.org,1
troet.cafe,toot.teckids.org,8
freiburg.social,toot.teckids.org,1
norrebro.space,toot.teckids.org,1
norden.social,toot.teckids.org,10
social.tchncs.de,toot.teckids.org,7
climatejustice.social,toot.teckids.org,2
infosec.exchange,toot.teckids.org,1
mastodon.social,toot.teckids.org,13
digitalcourage.social,toot.teckids.org,3
nerdculture.de,toot.teckids.org,2
mas.to,toot.teckids.org,1
det.social,toot.teckids.org,5
hci.social,toot.teckids.org,1
wien.rocks,toot.teckids.org,1
genista.osrx.chat,toot.teckids.org,1
social.benny.de,toot.teckids.org,1
mastodon.green,toot.teckids.org,1
social.finkhaeuser.de,toot.teckids.org,1
ruhr.social,toot.teckids.org,1
frankfurt.social,toot.teckids.org,1
kolektiva.social,toot.teckids.org,1
sueden.social,toot.teckids.org,2
fedi.caliandroid.de,toot.teckids.org,1
social.cologne,toot.teckids.org,1
tux.social,toot.teckids.org,1
graz.social,toot.teckids.org,1
catcatnya.com,toot.teckids.org,1
bildung.social,toot.teckids.org,1
fediscience.org,toot.teckids.org,1
todon.eu,toot.teckids.org,1
mastodon.de,toot.teckids.org,1
mstdn.social,toot.teckids.org,1
augsburg.social,toot.teckids.org,1
skeptics.social,toot.teckids.org,1
friendica.andreaskilgus.de,toot.teckids.org,1
strangeobject.space,toot.teckids.org,1
ohai.social,toot.teckids.org,1
fnordon.de,toot.teckids.org,1
bonn.social,toot.teckids.org,1
mastodon.scot,toot.teckids.org,1
c3d2.social,toot.teckids.org,1
mastodon.xyz,toot.teckids.org,1
weirder.earth,subdued.social,2
theshark-smellslike.sparklef.art,valenciapa.ws,1
social.restless.systems,valenciapa.ws,1
swingset.social,m.prettyshiny.org,1
plush.city,m.prettyshiny.org,4
kolektiva.social,m.prettyshiny.org,1
kind.social,m.prettyshiny.org,2
mastodonczech.cz,spondr.cz,10
ttrpg-hangout.social,ttrpg-hangout.social,1
petrous.vislae.town,ttrpg-hangout.social,1
tiggi.es,toot.fedilab.app,1
mastodon.social,toot.fedilab.app,18
